score_threshold,tp,fp,tn,fn,precision,recall,f1,false_positive_rate
0.74,319,1,319,1,0.996875,0.996875,0.996875,0.003125
0.78,319,1,319,1,0.996875,0.996875,0.996875,0.003125
0.8,319,1,319,1,0.996875,0.996875,0.996875,0.003125
0.82,319,1,319,1,0.996875,0.996875,0.996875,0.003125
0.84,319,1,319,1,0.996875,0.996875,0.996875,0.003125
0.88,319,1,319,1,0.996875,0.996875,0.996875,0.003125
0.92,319,0,320,1,1.0,0.996875,0.9984350547730829,0.0
0.96,319,0,320,1,1.0,0.996875,0.9984350547730829,0.0
